City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
102,Half Moon Bay,US,37.4636,-122.4286,77.61,53,0,0.0,clear sky
103,Anadyr,RU,64.75,177.4833,-40.07,99,85,6.85,overcast clouds
104,Bengkulu,ID,-3.8004,102.2655,76.21,89,100,3.96,light rain
105,Mar Del Plata,AR,-38.0023,-57.5575,67.87,60,7,8.01,clear sky
106,Praia,CV,14.9215,-23.5087,75.74,64,0,18.41,clear sky
107,Caravelas,BR,-17.7125,-39.2481,79.74,76,90,9.73,overcast clouds
108,Benguela,AO,-12.5763,13.4055,77.04,81,80,3.56,broken clouds
109,Yumen,CN,40.2833,97.2,27.16,42,100,12.41,overcast clouds
110,Bluff,NZ,-46.6,168.3333,49.8,87,9,6.11,clear sky
111,Iquique,CL,-20.2208,-70.1431,73.47,66,82,7.7,broken clouds
112,Aklavik,CA,68.2191,-135.0107,-20.51,96,100,3.13,light snow
113,Vardo,NO,70.3705,31.1107,26.58,63,75,24.16,broken clouds
114,Adre,TD,13.4667,22.2,73.02,11,100,14.88,overcast clouds
115,El Alto,PE,-4.2714,-81.2147,75.45,68,98,13.98,overcast clouds
116,Ilulissat,GL,69.2167,-51.1,24.82,54,100,19.57,overcast clouds
117,Torbay,CA,47.6666,-52.7314,41.76,65,95,8.99,overcast clouds
118,Tashtyp,RU,52.7939,89.8983,5.67,97,100,1.14,overcast clouds
119,Naron,ES,43.5167,-8.1528,53.02,80,54,16.8,broken clouds
120,Piacabucu,BR,-10.4056,-36.4344,83.53,69,79,14.88,broken clouds
121,Port Moresby,PG,-9.4431,147.1797,75.31,85,12,6.4,few clouds
122,Athabasca,CA,54.7169,-113.2854,31.69,75,78,10.69,broken clouds
123,Gamba,GA,-2.65,10.0,77.68,86,95,4.12,light rain
124,Manicore,BR,-5.8092,-61.3003,80.78,80,100,1.16,overcast clouds
125,Gat,IL,31.61,34.7642,55.4,100,0,0.74,clear sky
126,Berdigestyakh,RU,62.0989,126.6992,-28.59,100,100,1.59,overcast clouds
127,Valls,ES,41.2861,1.2499,54.68,80,40,5.75,scattered clouds
128,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,77,20,9.22,few clouds
129,East London,ZA,-33.0153,27.9116,73.54,82,71,8.32,broken clouds
130,Kachug,RU,53.9606,105.8817,-30.78,100,86,1.66,overcast clouds
131,Vila Velha,BR,-20.3297,-40.2925,82.35,83,75,13.8,broken clouds
132,Bredasdorp,ZA,-34.5322,20.0403,68.29,80,92,13.53,overcast clouds
133,Chuy,UY,-33.6971,-53.4616,72.5,40,1,13.87,clear sky
134,Roma,US,43.2128,-75.4557,22.66,59,100,3.0,overcast clouds
135,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,75,12.66,broken clouds
136,Carnarvon,AU,-24.8667,113.6333,77.07,88,3,5.75,clear sky
137,Panguna,PG,-6.3164,155.4848,69.01,94,90,1.45,overcast clouds
138,Koulamoutou,GA,-1.1303,12.4736,73.78,91,79,1.21,broken clouds
139,Bangassou,CF,4.7413,22.8184,79.39,27,100,1.54,overcast clouds
140,Tete,MZ,-16.1564,33.5867,74.34,90,68,2.84,broken clouds
141,Ratnagiri,IN,16.9833,73.3,72.97,63,3,9.06,clear sky
142,Rioja,AR,-29.4111,-66.8507,81.64,44,46,5.01,scattered clouds
143,Luwuk,ID,-0.9516,122.7875,76.62,85,100,3.0,overcast clouds
144,Marrakesh,MA,31.6315,-8.0083,64.47,25,0,4.61,clear sky
145,Nanortalik,GL,60.1432,-45.2371,29.03,80,100,9.42,overcast clouds
146,Broken Hill,AU,-31.95,141.4333,78.53,30,100,15.55,overcast clouds
147,Comodoro Rivadavia,AR,-45.8667,-67.5,82.26,32,40,17.27,scattered clouds
148,Tromso,NO,69.6496,18.957,23.02,68,75,9.22,broken clouds
149,Waverly,US,42.7392,-84.6208,22.17,81,100,6.91,snow
150,Ferme-Neuve,CA,46.7001,-75.4493,4.73,68,59,4.94,broken clouds
151,Kaitangata,NZ,-46.2817,169.8464,50.0,86,16,2.86,few clouds
152,Paamiut,GL,61.994,-49.6678,12.7,95,100,19.13,light snow
153,Lebu,CL,-37.6167,-73.65,65.7,72,84,11.63,broken clouds
154,Gimli,CA,50.6336,-96.9907,-2.87,97,100,17.07,snow
155,Beira,MZ,-19.8436,34.8389,80.69,83,20,9.22,few clouds
156,Yellowknife,CA,62.456,-114.3525,-11.58,75,75,4.61,broken clouds
157,Rocha,UY,-34.4833,-54.3333,68.22,50,3,15.26,clear sky
158,Tondano,ID,1.3038,124.9112,64.49,92,80,0.76,broken clouds
159,Quatre Cocos,MU,-20.2078,57.7625,81.09,83,76,14.34,broken clouds
160,Saldanha,ZA,-33.0117,17.9442,69.85,90,0,20.18,clear sky
161,Kadyy,RU,57.787,43.1903,10.15,100,95,4.21,overcast clouds
162,Bilibino,RU,68.0546,166.4372,-32.6,100,87,2.37,overcast clouds
163,Cap Malheureux,MU,-19.9842,57.6142,81.46,78,90,5.01,overcast clouds
164,Port Lincoln,AU,-34.7333,135.8667,65.95,85,92,9.98,overcast clouds
165,Yar-Sale,RU,66.8333,70.8333,-12.03,94,100,9.08,overcast clouds
166,Pingliang,CN,35.5392,106.6861,20.17,89,29,4.81,scattered clouds
167,Poya,NC,-21.35,165.15,79.2,85,100,4.07,overcast clouds
168,Acara,BR,-1.9608,-48.1967,76.71,97,100,1.83,overcast clouds
169,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,70,97,7.07,overcast clouds
170,Cabo San Lucas,MX,22.8909,-109.9124,82.51,59,99,1.99,overcast clouds
171,Mecca,SA,21.4267,39.8261,75.67,38,0,2.46,clear sky
172,Yerbogachen,RU,61.2767,108.0108,-29.34,100,92,3.49,overcast clouds
173,Klyuchi,RU,52.2667,79.1667,23.95,94,100,11.92,overcast clouds
174,Qeshm,IR,26.9581,56.2719,60.67,65,99,6.49,overcast clouds
175,Erenhot,CN,43.6475,111.9767,-6.77,93,9,4.29,clear sky
176,Salalah,OM,17.0151,54.0924,74.52,40,1,15.84,clear sky
177,Manacapuru,BR,-3.2997,-60.6206,79.93,84,100,3.47,light rain
178,Tomaszow Lubelski,PL,50.4477,23.4162,32.81,75,65,10.33,broken clouds
179,Hasaki,JP,35.7333,140.8333,36.0,92,100,33.24,overcast clouds
180,Jacmel,HT,18.2342,-72.5347,81.34,59,16,7.02,few clouds
181,Asyut,EG,27.181,31.1837,60.98,43,0,9.71,clear sky
182,Longyearbyen,SJ,78.2186,15.6401,9.7,96,100,2.62,overcast clouds
183,Redmond,US,47.674,-122.1215,59.45,61,4,1.01,clear sky
184,Manokwari,ID,-0.8667,134.0833,77.68,79,100,5.99,overcast clouds
185,Tianmen,CN,30.6516,113.1603,39.07,84,1,2.95,clear sky
186,Itarema,BR,-2.9248,-39.9167,82.27,72,8,13.76,clear sky
187,Takoradi,GH,4.8845,-1.7554,79.52,84,24,8.37,light rain
188,Chapais,CA,49.7834,-74.8492,-6.02,78,100,2.77,overcast clouds
189,Kapaa,US,22.0752,-159.319,77.11,71,46,4.0,scattered clouds
190,Regina,CA,50.4501,-104.6178,36.03,71,75,31.07,broken clouds
191,Alofi,NU,-19.0595,-169.9187,78.69,89,100,6.91,overcast clouds
192,Santa Maria,BR,-29.6842,-53.8069,88.07,18,0,11.01,clear sky
193,Qaanaaq,GL,77.484,-69.3632,-7.82,89,100,2.95,overcast clouds
194,Bambanglipuro,ID,-7.95,110.2833,61.61,94,100,5.84,heavy intensity rain
